Movie,Worldwide,India Net,India Gross,Overseas,Budget,Verdict
Thank You,72.0,46.0,62.0,9.0,60.0,Flop
Shuddh Desi Romance,75.0,46.0,62.0,12.0,25.0,Hit
Hichki,236.0,45.0,59.0,177.0,20.0,Hit
October,67.0,45.0,59.0,8.0,40.0,Hit
Veer,65.0,45.0,61.0,4.0,55.0,Below Average
Guru,82.0,45.0,61.0,21.0,22.0,Hit
New York,75.0,45.0,58.0,16.0,22.0,SuperHit
Kyaa Super Kool Hai Hum,64.0,44.0,60.0,3.0,19.0,Hit
Kabhi Alvida Naa Kehna,111.0,44.0,60.0,50.0,45.0,Average
No Entry,73.0,44.0,62.0,10.0,22.0,SuperHit
Roy,56.0,44.0,52.0,3.0,50.0,Flop
K.G.F : Chapter 1,237.0,44.0,227.0,10.0,80.0,Blockbuster
ABCD: Any Body Can Dance,61.0,44.0,57.0,3.0,20.0,Hit
Dostana,81.0,44.0,59.0,22.0,40.0,Average
Double Dhamaal,71.0,44.0,59.0,11.0,30.0,Hit
Kaho Naa... Pyaar Hai,78.0,44.0,73.0,5.0,10.0,Blockbuster
Heroine,70.0,43.0,58.0,12.0,35.0,Average
Raja Hindustani,76.0,43.0,60.0,15.0,6.0,All Time Blockbuster
Agent Vinod,71.0,43.0,56.0,14.0,55.0,Flop
Shaandaar,73.0,43.0,59.0,13.0,69.0,Flop
I Hate Luv Storys,72.0,42.0,58.0,14.0,24.0,Hit
Romeo Akbar Walter,58.0,42.0,50.0,7.0,35.0,Above Average
Shubh Mangal Saavdhan,64.0,42.0,59.0,4.0,25.0,Hit
Madras Cafe,66.0,42.0,57.0,9.0,34.0,Average
Desi Boyz,80.0,42.0,57.0,22.0,54.0,Flop
Veer-Zaara,95.0,42.0,57.0,38.0,22.0,SuperHit
Jannat 2,62.0,42.0,57.0,5.0,23.0,Hit
Mohabbatein,76.0,41.0,56.0,20.0,19.0,Blockbuster
Devdas,90.0,41.0,56.0,34.0,30.0,Hit
All The Best: Fun Begins,58.0,41.0,53.0,4.0,40.0,Average
Kaminey,70.0,41.0,55.0,14.0,33.0,Above Average
Chashme Baddoor,59.0,41.0,55.0,3.0,22.0,Hit
Pagalpanti,51.0,41.0,47.0,4.0,60.0,Flop
Atithi Tum Kab Jaoge?,57.0,41.0,55.0,1.0,20.0,Hit
Wazir,78.0,41.0,55.0,23.0,35.0,Average
Batti Gul Meter Chalu,58.0,40.0,52.0,6.0,55.0,Flop
Phir Hera Pheri,69.0,40.0,55.0,14.0,18.0,SuperHit
Matru Ki Bijlee Ka Mandola,62.0,40.0,54.0,7.0,43.0,Flop
Anjaana Anjaani,68.0,40.0,54.0,14.0,38.0,Average
Bhagam Bhag,67.0,40.0,54.0,13.0,32.0,Hit
Love Aaj Kal,57.0,40.0,47.0,10.0,60.0,Flop
Shamshera,60.0,39.0,47.0,13.0,150.0,Disaster
Aarakshan,64.0,39.0,53.0,10.0,45.0,Flop
Ek Main Aur Ekk Tu,73.0,39.0,53.0,20.0,32.0,Average
Border,64.0,39.0,62.0,2.0,10.0,All Time Blockbuster
Bhoothnath Returns,58.0,39.0,52.0,5.0,32.0,Average
Tevar,56.0,39.0,52.0,3.0,45.0,Flop
Hum Saath-Saath Hain: We Stand United,80.0,39.0,65.0,15.0,17.0,Blockbuster
Kal Ho Naa Ho,82.0,38.0,52.0,29.0,28.0,Hit
Khatta Meetha,62.0,38.0,52.0,10.0,35.0,Average
Blue,63.0,38.0,52.0,11.0,75.0,Flop
Cirkus,60.0,38.0,45.0,15.0,70.0,Flop
A Flying Jatt,56.0,38.0,52.0,4.0,45.0,Flop
Ta Ra Rum Pum,68.0,38.0,51.0,16.0,28.0,Above Average
Hasee Toh Phasee,63.0,37.0,51.0,11.0,25.0,Average
Main Hoon Na,70.0,37.0,50.0,20.0,25.0,Hit
MOM,65.0,37.0,51.0,13.0,35.0,Average
Namastey London,71.0,37.0,51.0,19.0,21.0,SuperHit
Shaadi Ke Side Effects,69.0,37.0,50.0,19.0,41.0,Flop
Naam Shabana,55.0,36.0,48.0,7.0,25.0,Above Average
Tanu Weds Manu,53.0,36.0,49.0,4.0,20.0,Hit
Bachna Ae Haseeno,62.0,36.0,47.0,15.0,23.0,Hit
Phata Poster Nikla Hero,63.0,36.0,49.0,14.0,40.0,Flop
Thank God,48.0,36.0,42.0,6.0,70.0,Flop
Fukrey,50.0,36.0,48.0,1.0,17.0,Hit
Mastizaade,51.0,36.0,48.0,2.0,30.0,Average
Bunty Aur Babli,62.0,36.0,50.0,12.0,12.0,SuperHit
Tumhari Sulu,50.0,36.0,46.0,4.0,17.0,Hit
Bullett Raja,53.0,36.0,48.0,4.0,51.0,Flop
Ramaiya Vastavaiya,50.0,36.0,48.0,1.0,38.0,Flop
Ghayal Once Again,57.0,35.0,48.0,9.0,50.0,Flop
Force 2,58.0,35.0,48.0,10.0,40.0,Flop
Mardaani,59.0,35.0,48.0,11.0,20.0,Hit
Finding Fanny,63.0,35.0,48.0,15.0,25.0,Average
Runway 34,50.0,35.0,41.0,9.0,60.0,Flop
Vicky Donor,54.0,35.0,47.0,6.0,10.0,Hit
Badmaash Company,50.0,34.0,47.0,3.0,20.0,Above Average
Chhapaak,55.0,34.0,40.0,15.0,50.0,Flop
Dil To Pagal Hai,58.0,34.0,47.0,11.0,9.0,Blockbuster
English Vinglish,83.0,34.0,46.0,37.0,20.0,Hit
Judgementall Hai Kya,49.0,34.0,41.0,8.0,35.0,Average
Hamari Adhuri Kahani,51.0,34.0,46.0,5.0,38.0,Below Average
Lagaan: Once Upon a Time in India,58.0,34.0,46.0,11.0,25.0,Hit
Bareilly Ki Barfi,58.0,34.0,47.0,10.0,20.0,Hit
Sarkar Raj,57.0,34.0,45.0,11.0,25.0,Average
Yamla Pagla Deewana 2,48.0,33.0,45.0,2.0,30.0,Average
Panipat,49.0,33.0,40.0,9.0,80.0,Disaster
Hero,49.0,33.0,45.0,3.0,32.0,Average
Bell Bottom,53.0,33.0,39.0,14.0,180.0,Flop
Azhar,50.0,33.0,44.0,5.0,38.0,Flop
Kill Dil,58.0,33.0,44.0,13.0,40.0,Flop
Dhamaal,51.0,33.0,45.0,5.0,17.0,Hit
Kahaani 2,55.0,33.0,44.0,11.0,25.0,Average
Ladies vs Ricky Bahl,49.0,32.0,44.0,4.0,20.0,Average
Uunchai,48.0,32.0,38.0,9.0,45.0,Hit
Munna Michael,48.0,32.0,45.0,2.0,41.0,Flop
Ghanchakkar,47.0,32.0,44.0,2.0,29.0,Below Average
Jai Gangaajal,49.0,32.0,44.0,5.0,33.0,Below Average
Rascals,49.0,32.0,44.0,5.0,45.0,Flop
Jolly LLB,46.0,32.0,43.0,2.0,12.0,Hit
Soorma,47.0,32.0,41.0,6.0,32.0,Above Average
Commando 3,9.0,32.0,7.0,2.0,40.0,Above Average
Shehzada,47.0,32.0,37.0,10.0,65.0,Flop
Dhoom,48.0,31.0,42.0,6.0,11.0,SuperHit
Karthikeya 2,117.0,31.0,102.0,15.0,15.0,Blockbuster
Baar Baar Dekho,62.0,31.0,42.0,20.0,53.0,Flop
Vivah,48.0,31.0,43.0,4.0,8.0,Blockbuster
Patiala House,55.0,31.0,42.0,12.0,30.0,Flop
Bhoot Part One,39.0,31.0,36.0,3.0,50.0,Flop
Jab We Met,48.0,30.0,41.0,7.0,15.0,Hit
Highway,52.0,30.0,41.0,11.0,25.0,Average
Thappad,43.0,30.0,36.0,7.0,22.0,Average
Talvar,47.0,30.0,41.0,6.0,15.0,Hit
Delhi-6,50.0,30.0,39.0,10.0,40.0,Flop
Raaz Reboot,43.0,30.0,40.0,2.0,31.0,Flop
Peepli Live,47.0,30.0,40.0,6.0,12.0,Hit
Paa,46.0,30.0,40.0,6.0,18.0,Hit
Jism 2,42.0,30.0,40.0,1.0,11.0,Hit
Ittefaq,51.0,30.0,38.0,12.0,20.0,Average
Dum Laga Ke Haisha,42.0,30.0,40.0,2.0,12.0,Hit
Thor: Love And Thunder,5550.0,29.0,127.0,3050.0,1900.0,Hit
Golmaal: Fun Unlimited,46.0,29.0,39.0,6.0,11.0,SuperHit
Mausam,52.0,29.0,39.0,12.0,45.0,Flop
Shootout at Lokhandwala,44.0,29.0,39.0,4.0,17.0,Above Average
Tashan,51.0,29.0,39.0,11.0,31.0,Average
Chandni Chowk to China,53.0,29.0,37.0,15.0,65.0,Disaster
Mujhse Shaadi Karogi,55.0,29.0,39.0,16.0,19.0,Hit
Guzaarish,53.0,29.0,39.0,14.0,55.0,Disaster
Action Replayy,48.0,29.0,39.0,8.0,55.0,Flop
Garam Masala,54.0,29.0,39.0,15.0,17.0,Hit
Lootera,46.0,29.0,39.0,7.0,30.0,Flop
Dil Toh Baccha Hai Ji,40.0,28.0,39.0,1.0,27.0,Below Average
Ferrari Ki Sawaari,44.0,28.0,37.0,6.0,15.0,Hit
Happy Bhaag Jayegi,46.0,28.0,40.0,6.0,20.0,Hit
Akira,43.0,28.0,38.0,5.0,30.0,Flop
Pari,39.0,28.0,36.0,2.0,30.0,Above Average
Players,47.0,28.0,38.0,8.0,55.0,Disaster
London Dreams,45.0,28.0,38.0,6.0,45.0,Flop
PM Narendra Modi,35.0,28.0,33.0,1.0,20.0,Above Average
Doctor Strange In The Multiverse Of Madness,5400.0,28.0,147.0,3100.0,1500.0,Average
Ishqiya,39.0,28.0,38.0,1.0,18.0,Hit
Baazaar,40.0,28.0,36.0,4.0,35.0,Below Average
Kyaa Kool Hain Hum 3,38.0,28.0,36.0,1.0,25.0,Average
No Problem,44.0,27.0,37.0,6.0,35.0,Flop
Manmarziyaan,41.0,27.0,35.0,6.0,30.0,Flop
Wake Up Sid,47.0,27.0,36.0,11.0,18.0,Hit
No One Killed Jessica,43.0,27.0,37.0,6.0,15.0,Hit
Mangal Pandey: The Rising,51.0,27.0,37.0,13.0,34.0,Flop
Sanam Re,39.0,27.0,37.0,1.0,25.0,Average
Panga,40.0,27.0,32.0,8.0,49.0,Flop
Dedh Ishqiya,43.0,27.0,36.0,6.0,35.0,Flop
Sarbjit,41.0,27.0,36.0,4.0,30.0,Flop
Force,40.0,27.0,36.0,3.0,28.0,Flop
Jhoom Barabar Jhoom,48.0,27.0,36.0,11.0,25.0,Below Average
Detective Byomkesh Bakshy,43.0,26.0,36.0,7.0,35.0,Flop
Malamaal Weekly,41.0,26.0,36.0,5.0,6.0,SuperHit
Raja Natwarlal,44.0,26.0,35.0,8.0,45.0,Disaster
Singh Saab The Great,38.0,26.0,35.0,2.0,35.0,Flop
Fashion,38.0,26.0,35.0,3.0,18.0,Above Average
The Hero: Love Story of a Spy,44.0,26.0,40.0,3.0,33.0,Below Average
Salaam Namaste,55.0,26.0,35.0,20.0,10.0,Hit
Khakee,45.0,25.0,34.0,10.0,26.0,Average
